anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
503,403,42,2166,2022-06-18,1218
369,275,24,1659,2022-06-19,991
489,455,39,2143,2022-06-20,1160
301,238,36,1474,2022-06-21,899
144,115,17,1037,2022-06-22,761
409,266,29,1744,2022-06-23,1040
711,488,45,2509,2022-06-24,1265
683,396,72,2271,2022-06-25,1120
633,480,72,2440,2022-06-26,1255
721,625,58,3020,2022-06-27,1616
663,552,64,2906,2022-06-28,1627
463,488,42,2191,2022-06-29,1198
545,372,62,2231,2022-06-30,1252
628,425,82,2566,2022-07-01,1431
574,307,77,2116,2022-07-02,1158
496,382,52,2410,2022-07-03,1480
611,464,81,2662,2022-07-04,1506
466,399,41,2123,2022-07-05,1217
577,409,62,2561,2022-07-06,1513
493,309,51,1895,2022-07-07,1042
538,585,60,2673,2022-07-08,1490
383,347,66,1870,2022-07-09,1074
611,469,61,2496,2022-07-10,1355
826,687,58,3270,2022-07-11,1699
449,432,35,1928,2022-07-12,1012
401,550,42,2297,2022-07-13,1304
515,629,61,2940,2022-07-14,1735
491,553,66,2597,2022-07-15,1487
400,529,41,2236,2022-07-16,1266
366,434,85,2144,2022-07-17,1259
447,539,149,2520,2022-07-18,1385
357,587,82,2453,2022-07-19,1427
261,598,41,2291,2022-07-20,1391
245,402,25,1702,2022-07-21,1030
317,402,31,1870,2022-07-22,1120
297,583,46,2300,2022-07-23,1374
304,558,50,2279,2022-07-24,1367
486,590,55,2689,2022-07-25,1558
462,431,36,2123,2022-07-26,1194
563,483,78,2596,2022-07-27,1472
352,412,47,1890,2022-07-28,1079
465,581,48,2600,2022-07-29,1506
522,428,155,2490,2022-07-30,1385
450,476,54,2591,2022-07-31,1611
602,704,189,3386,2022-08-01,1891
362,407,85,1984,2022-08-02,1130
467,465,62,2205,2022-08-03,1211
435,440,51,1976,2022-08-04,1050
334,483,56,1959,2022-08-05,1086
521,660,123,2813,2022-08-06,1509
279,449,68,1784,2022-08-07,988
404,505,94,2253,2022-08-08,1250
411,562,65,2378,2022-08-09,1340
465,557,100,2602,2022-08-10,1480
471,585,80,2515,2022-08-11,1379
373,604,210,2556,2022-08-12,1369
479,640,241,2742,2022-08-13,1382
279,445,116,1906,2022-08-14,1066
673,837,131,3734,2022-08-15,2093
786,1411,575,5564,2022-08-16,2792
780,1445,523,5462,2022-08-17,2714
548,1309,434,4623,2022-08-18,2332
658,1384,481,4718,2022-08-19,2195
724,1239,462,4496,2022-08-20,2071
661,1066,392,4343,2022-08-21,2224
577,1243,511,4274,2022-08-22,1943
590,1030,412,4153,2022-08-23,2121
641,1137,454,4554,2022-08-24,2322
432,908,267,3377,2022-08-25,1770
485,1038,298,3591,2022-08-26,1770
411,779,329,2969,2022-08-27,1450
385,870,257,2916,2022-08-28,1404
513,881,307,3285,2022-08-29,1584
566,1073,421,3874,2022-08-30,1814
583,933,264,3498,2022-08-31,1718
564,1086,357,3828,2022-09-01,1821
385,825,275,2810,2022-09-02,1325
408,1023,258,3111,2022-09-03,1422
383,714,176,2400,2022-09-04,1127
560,981,376,3698,2022-09-05,1781
595,1138,419,3909,2022-09-06,1757
357,935,236,3124,2022-09-07,1596
296,736,201,2338,2022-09-08,1105
402,880,248,2961,2022-09-09,1431
430,1111,354,3639,2022-09-10,1744
374,1198,227,3464,2022-09-11,1665
504,915,241,3183,2022-09-12,1523
497,1281,316,3836,2022-09-13,1742
424,1148,186,3263,2022-09-14,1505
447,909,232,3296,2022-09-15,1708
732,645,136,2912,2022-09-16,1399
888,894,242,3716,2022-09-17,1692
616,1418,302,4466,2022-09-18,2130
677,902,285,3746,2022-09-19,1882
704,1034,479,4229,2022-09-20,2012
640,1185,295,3990,2022-09-21,1870
573,1097,229,3669,2022-09-22,1770
529,1184,356,4023,2022-09-23,1954
923,1590,510,5534,2022-09-24,2511
686,1058,250,3904,2022-09-25,1910
684,1223,360,4085,2022-09-26,1818
876,1645,770,5454,2022-09-27,2163
381,1258,1243,4445,2022-09-28,1563
245,995,831,3136,2022-09-29,1065
216,1109,959,3661,2022-09-30,1377
266,1429,1291,4584,2022-10-01,1598
137,903,891,3122,2022-10-02,1191
204,1397,1244,4412,2022-10-03,1567
344,1225,1206,4057,2022-10-04,1282
147,548,693,1941,2022-10-05,553
60,339,359,1135,2022-10-06,377
116,547,587,1821,2022-10-07,571
38,410,375,1214,2022-10-08,391
109,635,689,2191,2022-10-09,758
118,505,625,1911,2022-10-10,663
103,457,540,1593,2022-10-11,493
120,766,706,2369,2022-10-12,777
96,606,616,1857,2022-10-13,539
116,462,442,1497,2022-10-14,477
149,551,441,1645,2022-10-15,504
99,919,817,2738,2022-10-16,903
113,695,568,2210,2022-10-17,834
103,975,923,2919,2022-10-18,918
30,653,656,2035,2022-10-19,696
126,568,593,2050,2022-10-20,763
70,325,362,1204,2022-10-21,447
78,744,773,2422,2022-10-22,827
33,748,898,2388,2022-10-23,709
67,634,706,2216,2022-10-24,809
21,740,773,2278,2022-10-25,744
22,522,533,1795,2022-10-26,718
